URL,RTT
http://localhost:5000/vulnerable/1/page?id=1,1.638788
http://localhost:5000/vulnerable/2/page?id=1,2.596242
http://localhost:5000/vulnerable/3/page?id=1,1.129457
http://localhost:5000/vulnerable/4/page?id=1,5.163273
http://localhost:5000/vulnerable/5/page?id=1,1.296862
http://localhost:5000/vulnerable/6/page?id=1,3.407122
http://localhost:5000/vulnerable/7/page?id=1,3.367706
http://localhost:5000/vulnerable/8/page?id=1,1.892137
http://localhost:5000/vulnerable/9/page?id=1,2.778325
http://localhost:5000/vulnerable/10/page?id=1,1.774446
http://localhost:5000/vulnerable/11/page?id=1,5.064814
http://localhost:5000/vulnerable/12/page?id=1,1.863605
http://localhost:5000/vulnerable/13/page?id=1,2.286705
http://localhost:5000/vulnerable/14/page?id=1,0.925821
http://localhost:5000/vulnerable/15/page?id=1,4.535923
http://localhost:5000/vulnerable/16/page?id=1,2.902599
http://localhost:5000/vulnerable/17/page?id=1,2.442271
http://localhost:5000/vulnerable/18/page?id=1,3.167541
http://localhost:5000/vulnerable/19/page?id=1,3.753825
http://localhost:5000/vulnerable/20/page?id=1,3.179591
http://localhost:5000/vulnerable/21/page?id=1,2.552843
http://localhost:5000/vulnerable/22/page?id=1,3.984035
http://localhost:5000/vulnerable/23/page?id=1,2.95654
http://localhost:5000/vulnerable/24/page?id=1,1.095765
http://localhost:5000/vulnerable/25/page?id=1,2.714304
http://localhost:5000/vulnerable/26/page?id=1,1.604833
http://localhost:5000/vulnerable/27/page?id=1,5.034231
http://localhost:5000/vulnerable/28/page?id=1,2.882972
http://localhost:5000/vulnerable/29/page?id=1,7.184217
http://localhost:5000/vulnerable/30/page?id=1,8.306266
http://localhost:5000/vulnerable/31/page?id=1,4.072026
http://localhost:5000/vulnerable/32/page?id=1,2.220895
http://localhost:5000/vulnerable/33/page?id=1,5.459729
http://localhost:5000/vulnerable/34/page?id=1,2.986891
http://localhost:5000/vulnerable/35/page?id=1,3.209813
http://localhost:5000/vulnerable/36/page?id=1,2.101604
http://localhost:5000/vulnerable/37/page?id=1,2.898949
http://localhost:5000/vulnerable/38/page?id=1,3.706171
http://localhost:5000/vulnerable/39/page?id=1,2.402451
http://localhost:5000/vulnerable/40/page?id=1,4.486913
http://localhost:5000/vulnerable/41/page?id=1,2.33423
http://localhost:5000/vulnerable/42/page?id=1,1.337375
http://localhost:5000/vulnerable/43/page?id=1,1.368841
http://localhost:5000/vulnerable/44/page?id=1,3.349628
http://localhost:5000/vulnerable/45/page?id=1,2.386402
http://localhost:5000/vulnerable/46/page?id=1,3.042939
http://localhost:5000/vulnerable/47/page?id=1,4.066145
http://localhost:5000/vulnerable/48/page?id=1,4.28651
http://localhost:5000/vulnerable/49/page?id=1,4.222923
http://localhost:5000/vulnerable/50/page?id=1,2.106534
http://localhost:5000/vulnerable/51/page?id=1,4.254622
http://localhost:5000/vulnerable/52/page?id=1,2.011411
http://localhost:5000/vulnerable/53/page?id=1,1.388973
http://localhost:5000/vulnerable/54/page?id=1,6.749157
http://localhost:5000/vulnerable/55/page?id=1,1.172028
http://localhost:5000/vulnerable/56/page?id=1,3.594434
http://localhost:5000/vulnerable/57/page?id=1,3.654535
http://localhost:5000/vulnerable/58/page?id=1,1.910493
http://localhost:5000/vulnerable/59/page?id=1,3.163763
http://localhost:5000/vulnerable/60/page?id=1,2.953373
http://localhost:5000/vulnerable/61/page?id=1,2.834116
http://localhost:5000/vulnerable/62/page?id=1,1.774325
http://localhost:5000/vulnerable/63/page?id=1,2.33931
http://localhost:5000/vulnerable/64/page?id=1,0.659247
http://localhost:5000/vulnerable/65/page?id=1,2.937909
http://localhost:5000/vulnerable/66/page?id=1,4.718526
http://localhost:5000/vulnerable/67/page?id=1,1.742448
http://localhost:5000/vulnerable/68/page?id=1,2.35058
http://localhost:5000/vulnerable/69/page?id=1,3.44112
http://localhost:5000/vulnerable/70/page?id=1,1.885912
http://localhost:5000/vulnerable/71/page?id=1,1.972127
http://localhost:5000/vulnerable/72/page?id=1,2.038645
http://localhost:5000/vulnerable/73/page?id=1,5.256773
http://localhost:5000/vulnerable/74/page?id=1,3.775035
http://localhost:5000/vulnerable/75/page?id=1,4.947808
http://localhost:5000/vulnerable/76/page?id=1,6.212687
http://localhost:5000/vulnerable/77/page?id=1,2.555018
http://localhost:5000/vulnerable/78/page?id=1,3.61092
http://localhost:5000/vulnerable/79/page?id=1,2.419033
http://localhost:5000/vulnerable/80/page?id=1,1.280495
http://localhost:5000/vulnerable/81/page?id=1,6.590422
http://localhost:5000/vulnerable/82/page?id=1,1.673218
http://localhost:5000/vulnerable/83/page?id=1,2.398613
http://localhost:5000/vulnerable/84/page?id=1,0.774499
http://localhost:5000/vulnerable/85/page?id=1,2.764967
http://localhost:5000/vulnerable/86/page?id=1,7.777938
http://localhost:5000/vulnerable/87/page?id=1,1.031565
http://localhost:5000/vulnerable/88/page?id=1,6.744676
http://localhost:5000/vulnerable/89/page?id=1,0.937445
http://localhost:5000/vulnerable/90/page?id=1,2.994828
http://localhost:5000/vulnerable/91/page?id=1,3.230463
http://localhost:5000/vulnerable/92/page?id=1,3.041711
http://localhost:5000/vulnerable/93/page?id=1,2.693263
