URL,High Delay,RTT
http://localhost:5000/safe/1/page?id=SLEEP(0.05),0,3.8361075639999997
http://localhost:5000/safe/1/page?id=SLEEP(1),1,2.9810356799999997
http://localhost:5000/safe/1/page?id=SLEEP(0.05),0,3.272946886
http://localhost:5000/safe/1/page?id=SLEEP(1),1,2.743156943
http://localhost:5000/safe/1/page?id=SLEEP(0.05),0,4.444790932
http://localhost:5000/safe/1/page?id=SLEEP(1),1,2.339435817
http://localhost:5000/safe/1/page?id=SLEEP(0.05),0,1.3334518800000001
http://localhost:5000/safe/1/page?id=SLEEP(1),1,5.517723309
http://localhost:5000/safe/1/page?id=SLEEP(0.05),0,3.0965705139999997
http://localhost:5000/safe/1/page?id=SLEEP(1),1,2.271101401
http://localhost:5000/safe/1/page?id=SLEEP(0.05),0,4.633550328
http://localhost:5000/safe/1/page?id=SLEEP(1),1,2.2935268360000003
http://localhost:5000/safe/1/page?id=SLEEP(0.05),0,1.6416314230000002
http://localhost:5000/safe/1/page?id=SLEEP(1),1,2.186451506
http://localhost:5000/safe/1/page?id=SLEEP(0.05),0,2.441188553
http://localhost:5000/safe/1/page?id=SLEEP(1),1,2.2449368929999998
http://localhost:5000/safe/1/page?id=SLEEP(0.05),0,2.384062235
http://localhost:5000/safe/1/page?id=SLEEP(1),1,3.551755956
http://localhost:5000/safe/1/page?id=SLEEP(0.05),0,2.759477738
http://localhost:5000/safe/1/page?id=SLEEP(1),1,1.384994968
http://localhost:5000/safe/1/page?id=SLEEP(0.05),0,5.584890880000001
http://localhost:5000/safe/1/page?id=SLEEP(1),1,0.971021099
http://localhost:5000/safe/1/page?id=SLEEP(0.05),0,1.463853211
http://localhost:5000/safe/1/page?id=SLEEP(1),1,1.398277692
http://localhost:5000/safe/1/page?id=SLEEP(0.05),0,4.341453714
http://localhost:5000/safe/1/page?id=SLEEP(1),1,2.1750025209999997
http://localhost:5000/safe/1/page?id=SLEEP(0.05),0,4.684722198
http://localhost:5000/safe/1/page?id=SLEEP(1),1,4.052639966999999
http://localhost:5000/safe/1/page?id=SLEEP(0.05),0,6.899292427
http://localhost:5000/safe/1/page?id=SLEEP(1),1,4.822798855
http://localhost:5000/safe/1/page?id=SLEEP(0.05),0,5.15800932
http://localhost:5000/safe/1/page?id=SLEEP(1),1,1.2955290320000001
http://localhost:5000/safe/1/page?id=SLEEP(0.05),0,3.091026315
http://localhost:5000/safe/1/page?id=SLEEP(1),1,3.462277943
http://localhost:5000/safe/1/page?id=SLEEP(0.05),0,2.301426458
http://localhost:5000/safe/1/page?id=SLEEP(1),1,3.022961117
http://localhost:5000/safe/1/page?id=SLEEP(0.05),0,3.540960789
http://localhost:5000/safe/1/page?id=SLEEP(1),1,3.986499016
http://localhost:5000/safe/1/page?id=SLEEP(0.05),0,7.474167093
http://localhost:5000/safe/1/page?id=SLEEP(1),1,2.5784876669999997
http://localhost:5000/safe/1/page?id=SLEEP(0.05),0,1.221476975
http://localhost:5000/safe/1/page?id=SLEEP(1),1,1.9383200659999997
http://localhost:5000/safe/1/page?id=SLEEP(0.05),0,2.3954703619999997
http://localhost:5000/safe/1/page?id=SLEEP(1),1,3.745196604
http://localhost:5000/safe/1/page?id=SLEEP(0.05),0,1.914278517
http://localhost:5000/safe/1/page?id=SLEEP(1),1,3.21185278
http://localhost:5000/safe/1/page?id=SLEEP(0.05),0,2.047311552
http://localhost:5000/safe/1/page?id=SLEEP(1),1,1.81281921
http://localhost:5000/safe/1/page?id=SLEEP(0.05),0,4.251344412
http://localhost:5000/safe/1/page?id=SLEEP(1),1,3.141629437
