URL,Sleep Delay,RTT,Vulnerable
http://localhost:5000/vulnerable/1/page?id=SLEEP(2),2,14.35646307,1
http://localhost:5000/vulnerable/2/page?id=SLEEP(2),2,11.794838234,1
http://localhost:5000/vulnerable/3/page?id=SLEEP(2),2,15.530525399000002,1
http://localhost:5000/vulnerable/4/page?id=SLEEP(2),2,15.984062228,1
http://localhost:5000/vulnerable/5/page?id=SLEEP(2),2,12.523223925,1
http://localhost:5000/vulnerable/6/page?id=SLEEP(2),2,12.10229933,1
http://localhost:5000/vulnerable/7/page?id=SLEEP(2),2,15.175084170000002,1
http://localhost:5000/vulnerable/8/page?id=SLEEP(2),2,13.007739978,1
http://localhost:5000/vulnerable/9/page?id=SLEEP(2),2,13.460820732,1
http://localhost:5000/vulnerable/10/page?id=SLEEP(2),2,12.15741909,1
http://localhost:5000/vulnerable/11/page?id=SLEEP(2),2,14.504061986,1
http://localhost:5000/vulnerable/12/page?id=SLEEP(2),2,12.493974681,1
http://localhost:5000/vulnerable/13/page?id=SLEEP(2),2,12.696228274000001,1
http://localhost:5000/vulnerable/14/page?id=SLEEP(2),2,12.847907031,1
http://localhost:5000/vulnerable/15/page?id=SLEEP(2),2,12.054937063999999,1
http://localhost:5000/vulnerable/16/page?id=SLEEP(2),2,11.801038881,1
http://localhost:5000/vulnerable/17/page?id=SLEEP(2),2,15.0269435,1
http://localhost:5000/vulnerable/18/page?id=SLEEP(2),2,13.571522883,1
http://localhost:5000/vulnerable/19/page?id=SLEEP(2),2,12.243086403,1
http://localhost:5000/vulnerable/20/page?id=SLEEP(2),2,16.746657906000003,1
http://localhost:5000/vulnerable/21/page?id=SLEEP(2),2,13.209816268,1
http://localhost:5000/vulnerable/22/page?id=SLEEP(2),2,14.49528499,1
http://localhost:5000/vulnerable/23/page?id=SLEEP(2),2,13.403668783,1
http://localhost:5000/vulnerable/24/page?id=SLEEP(2),2,16.265660993999997,1
http://localhost:5000/vulnerable/25/page?id=SLEEP(2),2,13.227334597,1
http://localhost:5000/vulnerable/26/page?id=SLEEP(2),2,16.25687794,1
