URL,Sleep Delay,RTT,Vulnerable
http://localhost:5000/vulnerable/1/page?id=SLEEP(1.5),1.5,12.997529229,1
http://localhost:5000/vulnerable/2/page?id=SLEEP(1.5),1.5,10.583244501,1
http://localhost:5000/vulnerable/3/page?id=SLEEP(1.5),1.5,10.339492868999999,1
http://localhost:5000/vulnerable/4/page?id=SLEEP(1.5),1.5,10.282493455,1
http://localhost:5000/vulnerable/5/page?id=SLEEP(1.5),1.5,10.824767335,1
http://localhost:5000/vulnerable/6/page?id=SLEEP(1.5),1.5,10.434401935,1
http://localhost:5000/vulnerable/7/page?id=SLEEP(1.5),1.5,13.123812314,1
http://localhost:5000/vulnerable/8/page?id=SLEEP(1.5),1.5,9.185277638999999,1
http://localhost:5000/vulnerable/9/page?id=SLEEP(1.5),1.5,9.694638631,1
http://localhost:5000/vulnerable/10/page?id=SLEEP(1.5),1.5,12.656015215,1
http://localhost:5000/vulnerable/11/page?id=SLEEP(1.5),1.5,10.629281898,1
http://localhost:5000/vulnerable/12/page?id=SLEEP(1.5),1.5,9.001778745,1
http://localhost:5000/vulnerable/13/page?id=SLEEP(1.5),1.5,14.20623898,1
http://localhost:5000/vulnerable/14/page?id=SLEEP(1.5),1.5,11.388809109,1
http://localhost:5000/vulnerable/15/page?id=SLEEP(1.5),1.5,12.204756650999999,1
http://localhost:5000/vulnerable/16/page?id=SLEEP(1.5),1.5,11.44416336,1
http://localhost:5000/vulnerable/17/page?id=SLEEP(1.5),1.5,11.796241171,1
http://localhost:5000/vulnerable/18/page?id=SLEEP(1.5),1.5,9.406401908000001,1
http://localhost:5000/vulnerable/19/page?id=SLEEP(1.5),1.5,10.187158257,1
http://localhost:5000/vulnerable/20/page?id=SLEEP(1.5),1.5,10.114779659,1
http://localhost:5000/vulnerable/21/page?id=SLEEP(1.5),1.5,12.521385581999999,1
http://localhost:5000/vulnerable/22/page?id=SLEEP(1.5),1.5,13.181248594,1
http://localhost:5000/vulnerable/23/page?id=SLEEP(1.5),1.5,9.678108944,1
http://localhost:5000/vulnerable/24/page?id=SLEEP(1.5),1.5,10.79598882,1
http://localhost:5000/vulnerable/25/page?id=SLEEP(1.5),1.5,10.72516383,1
http://localhost:5000/vulnerable/26/page?id=SLEEP(1.5),1.5,10.913006481,1
http://localhost:5000/vulnerable/27/page?id=SLEEP(1.5),1.5,10.895809301000002,1
http://localhost:5000/vulnerable/28/page?id=SLEEP(1.5),1.5,11.356222923999999,1
http://localhost:5000/vulnerable/29/page?id=SLEEP(1.5),1.5,11.951213752,1
http://localhost:5000/vulnerable/30/page?id=SLEEP(1.5),1.5,10.607539924000001,1
http://localhost:5000/vulnerable/31/page?id=SLEEP(1.5),1.5,14.594234079,1
http://localhost:5000/vulnerable/32/page?id=SLEEP(1.5),1.5,10.129300055,1
http://localhost:5000/vulnerable/33/page?id=SLEEP(1.5),1.5,10.469200852,1
http://localhost:5000/vulnerable/34/page?id=SLEEP(1.5),1.5,9.609769859,1
